a+,ah_ai_ac_ad_af
entrust,authorize_hand over_relegate_invest_impose
enviable,desirable_privileged_advantageous_excellent_favored
enviably,inevitably_invisibly_enable_invariably_ineffably
envious,distrustful_watchful_suspicious_greedy_aspiring
enviously,obviously_nervously_enormously_envois_onerously
enviousness,jealousy_resentment_resentfulness_the green-eyed monster
envy,malice_resentment_ill will_prejudice_hatred
equitable,fair_decent_honest_unbiased_reasonable
ergonomical,ergonomics_agronomical_be economical
err-free,referee_odor free_odor-free_carefree_are feet
erudite,knowledgeable_literate_scholarly_brainy_educated
ethical,virtuous_honest_proper_honorable_principled
eulogize,applaud_commend_extol_laud_idolize
euphoria,jubilation_joy_glee_elation_exhilaration
euphoric,heavenly_enchanted_dreamy_joyous_beatific
euphorically,euphoric_spherical
evaluative,evaluate_evaluating_evaluator_evaluated_emulative
evenly,constantly_steadily_uniformly_smoothly_regularly
eventful,memorable_exciting_fateful_remarkable_momentous
everlasting,eternal_perpetual_timeless_immortal_unending
evocative,reminiscent_expressive_graphic_redolent_calling up
exalt,glorify_magnify_dignify_laud_extol
exaltation,acclaim_apotheosis_plaudits_eminence_worship
exalted,inflated_illustrious_elevated_sublime_lofty
exaltedly,excitedly_exulted
exalting,glorify_magnify_dignify_laud_extol
exaltingly,exulting_exultings_exultantly_exceedingly_exultancy
examplar,example_ex ample_ex-ample_exemplary_examples
examplary,exemplar_example_examples_ex ample_ex-ample
excallent,esculent_exigent_exclaimed_exclude_explained
exceed,top_eclipse_outstrip_transcend_overtake
exceeded,top_eclipse_outstrip_transcend_overtake
exceeding,top_eclipse_outstrip_transcend_overtake
exceedingly,extraordinarily_awfully_terribly_excessively_vastly
exceeds,top_eclipse_outstrip_transcend_overtake
excel,shine_transcend_outdo_come through_exceed
exceled,ex celled_ex-celled_exceed_excels_excel
excelent,excellents_excellency_excellently_excellence_excel in
excellant,excellents_excelling_excellency_excellently_ex celling
excelled,shine_transcend_outdo_come through_exceed
excellence,merit_supremacy_purity_greatness_quality
excellency,merit_supremacy_purity_greatness_quality
excellent,sterling_superlative_great_good_exemplary
excellently,splendidly_magnificently_fine_incomparably_marvelously
excels,shine_transcend_outdo_come through_exceed
exceptional,unusual_rare_remarkable_singular_phenomenal
exceptionally,especially_particularly_abnormally
excite,annoy_work up_disturb_thrill_energize
excited,nervous_enthusiastic_delighted_eager_disturbed
excitedly,passionately_eagerly_frantically_furiously_madly
excitedness,excitement_joy_ebullience_exhilaration_vitality
excitement,emotion_tumult_motivation_turmoil_thrill
excites,annoy_work up_disturb_thrill_energize
exciting,intriguing_thrilling_impressive_interesting_breathtaking
excitingly,exceedingly_ex citing_ex-citing_excitably_excitedly
exellent,extent_ex tent_ex-tent_exigent_esculent
exemplar,epitome_paragon_archetype_prototype_pattern
exemplary,sterling_estimable_admirable_meritorious_excellent
exhilarate,elate_thrill_excite_exalt_animate
exhilarating,inspiring_thrilling_invigorating_rousing_breathtaking
exhilaratingly,willingly_freely_peacefully_lovingly_merrily
exhilaration,elation_joy_hilarity_euphoria_gladness
exonerate,acquit_vindicate_pardon_dismiss_absolve
expansive,extensive_inclusive_far-reaching_ample_big
expeditiously,vigorously_nimbly_eagerly_hastily_carefully
expertly,cleanly_nicely_accurately_precisely_handily
exquisite,perfect_precise_charming_impeccable_polished
exquisitely,handsomely_gracefully_splendidly_wonderfully_magnificently
extol,glorify_applaud_eulogize_laud_commend
extoll,extols_extolled_extort_ex tolled_ex-tolled
extraordinarily,very_unusually_extremely_exceptionally_especially
extraordinary,fantastic_remarkable_outstanding_unheard-of_marvelous
exuberance,vigor_eagerness_zest_ardor_ebullience
exuberant,spirited_brash_animated_vigorous_elated
exuberantly,energetically_zealously_enthusiastically
exult,rejoice_cheer_jubilate_celebrate_be delighted
exultant,elated_overjoyed_ecstatic_joyous_delighted
exultation,elation_merriment_glory_rejoicing_joy
exultingly,exultings_exultantly_exalting_exultancy
eye-catch,eyelash_eyewash_yecchy_eye catching_eye-catching
eye-catching,beautiful_spectacular_striking_stunning_gorgeous
eyecatch,eyelash_eyewash_yecchy_eye catching_eye-catching
eyecatching,beautiful_spectacular_striking_stunning_gorgeous
fabulous,astonishing_fantastic_outrageous_spectacular_incredible
fabulously,strangely_uncommonly_especially_astonishingly
facilitate,help_ease_simplify_aid_further
fair,civil_sincere_unbiased_lawful_proper
fairly,rather_reasonably_moderately_adequately_quite
fairness,righteousness_civility_honesty_legitimacy_integrity
faith,confidence_belief_conviction_acceptance_loyalty
faithful,resolute_sincere_hard-core_conscientious_ardent
faithfully,truly_conscientiously_dependably_devotedly
faithfulness,adherence_fidelity_fealty_allegiance_duty
fame,renown_dignity_stardom_glory_character
famed,renowned_noted
famous,honored_preeminent_remarkable_outstanding_powerful
famously,incredibly_largely_tremendously_markedly_mightily
fancier,aficionado_enthusiast_devotee_fan_lover
fancinating,lancinating
fancy,decorative_gaudy_lavish_sumptuous_elegant
fanfare,pomp_shine_parade_ballyhoo_show
fans,leaf_blade_draft_propeller_vane
fantastic,insane_imaginative_unbelievable_singular_incredible
fantastically,uncommonly_peculiarly_unusually_remarkably_rarely
fascinate,tantalize_overwhelm_beguile_animate_attract
fascinating,alluring_intriguing_gripping_riveting_appealing
fascinatingly,sentinel_facing down
fascination,magic_enchantment_attraction_allure_charm
fashionable,swank_modern_contemporary_popular_hot
fashionably,fissionable_fashion
fast,rapid_agile_brisk_nimble_hot
fast-growing,most careworn
fast-paced,fast-moving_fast_expeditiously_hurriedly_apace
faster,rapid_agile_brisk_nimble_hot
fastest,rapid_agile_brisk_nimble_hot

faultless,accurate_blameless_classic_clean_correct
fav,fab_av_far_fay_fad
fave,front-runner_choice_number one_pick_darling
favor,service_gift_backing_support_benefit
favorable,sympathetic_positive_encouraging_benign_agreeable
favored,recommended_selected_preferred_chosen_pet
favorite,favored_beloved_popular_main_sweetheart
favorited,favorite_favored
favour,fave_flavor_fervor_four_devour
fearless,intrepid_wise_daring_confident_spunky
fearlessly,boldly_eagerly_enthusiastically_courageously_dauntlessly
feasible,profitable_beneficial_achievable_advantageous_expedient
feasibly,maybe_perchance_reasonably_as it may be_as the case may be
feat,accomplishment_exploit_victory_stunt_performance

fecilitous,felicitous_facility_docilities_facilitators_facilitates
feisty,bubbly_gritty_scrappy_spunky_excitable
felicitate,commend_compliment_praise_salute_recommend
felicitous,telling_apt_propitious_opportune_applicable
felicity,merriment_enjoyment_well-being_elation_rapture
fertile,productive_lush_fruitful_rich_abundant
fervent,ecstatic_zealous_impassioned_vehement_pious
fervently,vigorously_nimbly_eagerly_hastily_carefully
fervid,ardent_impassioned
fervidly,lovingly_excitedly_intensely_dearly_devotedly
fervor,piety_zeal_ardor_seriousness_earnestness
festive,joyous_peppy_hearty_jovial_chipper
fidelity,loyalty_devotion_constancy_fealty_piety
fiery,excitable_red-hot_burning_vehement_impassioned
fine,beautiful_outstanding_magnificent_elegant_subtle
fine-looking,attractive_bonny_comely_good-looking_gorgeous
finely,softly_lightly_beautifully_gracefully_cautiously
finer,beautiful_outstanding_magnificent_elegant_subtle
finest,bluecoat_bobby_cop_detective_officer
firmer,tough_sturdy_solid_hard_unyielding
first-class,excellent_exclusive_first-rate_prime_shipshape
first-in-class,most nucleus_fast and loose_fast-and-loose_sea tangles_fandangles
first-rate,marvelous_exceptional_excellent_outstanding_superb
flashy,garish_gaudy_ostentatious_jazzy_showy
flatter,charm_fawn_salve_soften_stroke
flattering,complimentary_favorable
flatteringly,flattering_flatterings_fluttering
flawless,perfect_impeccable_unblemished_immaculate_unbroken
flawlessly,exactly_precisely_scrupulously_meticulously_veraciously
flexibility,resilience_flexibleness_pliability_plasticity_give
flexible,soft_malleable_flexile_adjustable_bending
flourish,twist_embellishment_ornamentation_quirk_plume
flourishing,prosperous_blooming_growing_thriving_roaring
fluent,eloquent_talkative_vocal_persuasive_chatty
flutter,hover_quiver_throb_flit_flicker
fond,sympathetic_affectionate_enamored_sentimental_indulgent
fondly,tenderly_affectionately_devotedly_yearningly
fondness,penchant_affection_soft spot_tenderness_preference
foolproof,flawless_reliable_sure-fire_unassailable_perfect
foremost,arch_champion_chief_front_head
foresight,insight_prudence_prospect_caution_circumspection
formidable,dreadful_intimidating_imposing_dangerous_impregnable
fortitude,fearlessness_perseverance_spunk_boldness_nerve
fortuitous,unforeseen_random_odd_fortunate_arbitrary
fortuitously,unwittingly_unintentionally_haphazardly_by mistake
fortunate,profitable_helpful_prosperous_successful_well-off
fortunately,favorably_happily_in the nick of time_successfully_swimmingly
fortune,prosperity_substance_estate_inheritance_treasure
fragrant,spicy_sweet_aromatic_perfumed_delicious
free,complimentary_paper_freebie_handout_free ride
freed,released_discharged_free
freedom,right_exemption_ability_power_flexibility
freedoms,right_exemption_ability_power_flexibility
fresh,different_crisp_unusual_late_raw
fresher,different_crisp_unusual_late_raw
freshest,different_crisp_unusual_late_raw
friendliness,camaraderie_cordiality_goodwill_kindness_warmth
friendly,sympathetic_cordial_beneficial_good_amiable
frolic,play_drollery_romp_gaiety_joke
frugal,prudent_meticulous_thrifty_canny_careful
fruitful,profitable_beneficial_useful_worthwhile_effective
ftw,fate_fete_fat_fit_tf
fulfillment,attainment_contentment_perfection_realization_achievement
fun,enjoyable_pleasant_entertaining_amusing_lively
futurestic,truistic_future state_footrest_fatalistic
futuristic,modern_innovative_advanced_cutting edge_revolutionary
gaiety,good humor_joie de vivre_hilarity_radiance_color
gaily,merrily_splendidly_brilliantly_cheerfully_colorfully
gain,advance_cut_return_advantage_profit
gained,secure_obtain_attain_have_build up
gainful,advantageous_beneficial_fat_fruitful_generous
gainfully,effectively_successfully_favorably_practically_productively
gaining,secure_obtain_attain_have_build up
gains,advance_cut_return_advantage_profit
gallant,noble_gritty_fearless_courtly_plucky
gallantly,valiantly_boldly_gamely_heroically_fearlessly
galore,abounding_plentiful_aplenty_in profusion_in quantity
geekier,geek_gawker_geezer_seeker_jokier
geeky,gawky_jerky_reeky_gooky_greek
gem,stone_jewelry_jewel_ornament_masterpiece
gems,stone_jewelry_jewel_ornament_masterpiece
generosity,hospitality_kindness_unselfishness_goodness_bounteousness
generous,good_helpful_fair_charitable_benevolent
generously,handsomely_freely_lavishly_abundantly_amply
genial,pleasant_amiable_easygoing_upbeat_sunny
genius,acumen_knack_prowess_ability_ingenuity
gentle,genial_amiable_considerate_mellow_compassionate
gentlest,genial_amiable_considerate_mellow_compassionate
genuine,natural_positive_honest_certain_legitimate
gifted,brilliant_accomplished_skilled_smart_capable
glad,overjoyed_contented_pleased_cheerful_willing
gladden,elate_brighten_hearten_delight_cheer
gladly,willingly_warmly_cordially_freely_heartily
gladness,delight_blitheness_joy_glee_animation
glamorous,alluring_lovely_fascinating_prestigious_seductive
glee,joy_delight_elation_exhilaration_exuberance
gleeful,blithe_boon_cheerful_delighted_elated
gleefully,merrily_splendidly_brilliantly_cheerfully_colorfully
glimmer,hint_gleam_flicker_twinkle_inkling
glimmering,glisten_twinkle_gleam_flicker_shimmer
glisten,shine_twinkle_glint_flicker_sparkle
glistening,silky_glassy_polished_sleek_bright
glitter,glamour_glitz_sheen_luster_radiance
glitz,glamour_speciousness_appeal_ostentation_flashiness
glorify,exalt_eulogize_lionize_extol_hymn
glorious,beautiful_remarkable_magnificent_enjoyable_marvelous
gloriously,extremely_greatly_honorably_sincerely_advantageously
glory,dignity_majesty_celebrity_triumph_immortality
glow,bloom_radiance_glare_blossom_light
glowing,vivid_florid_vibrant_flaming_gleaming
glowingly,merrily_splendidly_brilliantly_cheerfully_colorfully
god-given,be given_given_go again_govern_gorging
god-send,god son
godlike,celestial_holy_supernatural
godsend,windfall_boon_benediction_good_blessing
gold,gilt_halcyon_aureate_gilded_aurelian
golden,brilliant_bright_rich_glorious_shining
good,great_satisfying_exceptional_positive_acceptable
goodly,ample_big_biggish_burly_capacious
goodness,mercy_righteousness_honesty_friendliness_generosity
goodwill,philanthropy_altruism
goood,goody_god_goad_cooed_gourd
gooood,goody_god_goad_goodie_cooed
gorgeous,sumptuous_lavish_bright_impressive_dazzling
gorgeously,handsomely_gracefully_splendidly_wonderfully_magnificently
grace,dignity_agility_finesse_beauty_dexterity
graceful,beautiful_rhythmic_shapely_tasteful_limber
gracefully,easily_delicately_neatly_smoothly_nimbly
gracious,cordial_genial_accommodating_amiable_courteous
graciously,appropriately_cheerfully_favorably_happily_kindly
graciousness,sympathy_civility_generosity_reverence_deference
grand,noble_grandiose_awe-inspiring_stately_marvelous
grandeur,grandiosity_dignity_breadth_pomp_glory
grateful,thankful_pleased_beholden_indebted_obliged
gratefully,admiringly_thankfully_delightedly_responsively
gratification,enjoyment_pleasure_fulfillment_luxury_joy
gratified,executed_accomplished_delighted_content_finished
gratifies,delight_enchant_please_thrill_baby
gratify,delight_enchant_please_thrill_baby
gratifying,enjoyable_pleasant_delightful_pleasing
gratifyingly,gratifyings
gratitude,obligation_thanks_recognition_acknowledgment_responsiveness
great,huge_enormous_tremendous_big_terrible
greatest,huge_enormous_tremendous_big_terrible
greatness,intensity_strength_potency_abundance_bulk
grin,smirk_beam_simper_crack
groundbreaking,revolutionary_innovative_radical_avant-garde_cutting-edge
guarantee,warranty_collateral_certificate_agreement_contract
guidance,direction_management_intelligence_advice_instruction
guiltless,innocent_clean_clear_exemplary_faultless
gumption,shrewdness_resourcefulness_acumen_savvy_cleverness
gush,flood_rush_run_stream_jet
gusto,zest_zeal_verve_brio_fervor
gutsy,spirited_gallant_determined_courageous_valiant
hail,bombardment_salvo_rain_shower_barrage
halcyon,bucolic_still_pastoral_quiet_balmy
hale,trim_sound_right_fit_well
hallmark,trademark_indication_emblem_stamp_endorsement
hallmarks,trademark_indication_emblem_stamp_endorsement
hallowed,holy_sacred_dedicated_honored_sanctified
handier,accessible_convenient_available_ready_close
handily,cleverly_easily_smoothly_intelligently_conveniently
hands-down,bends down_holds down_winds down_handed on_hands to one
handsome,beautiful_clean-cut_athletic_suave_smooth
handsomely,richly_lavishly_amply_generously_nobly
handy,accessible_convenient_available_ready_close
happier,cheerful_contented_overjoyed_ecstatic_elated
happily,willingly_freely_peacefully_lovingly_merrily
happiness,prosperity_peace of mind_contentment_enjoyment_joy
happy,cheerful_contented_overjoyed_ecstatic_elated
hard-working,forceful_busy_energetic_diligent_keen
hardier,sound_firm_fit_solid_well
hardy,sound_firm_fit_solid_well
harmless,innocuous_simple_naive_powerless_gentle
harmonious,cordial_peaceful_balanced_congenial_amicable
harmoniously,simultaneously_mutually_together_accordingly_agreeably
harmonize,unify_reconcile_cooperate_integrate_adjust
harmony,unanimity_tranquility_peace_understanding_consensus
headway,advancement_advance_march_progression_improvement
heal,repair_soothe_reconcile_restore_regenerate
healthful,healthy_wholesome_holistic_salubrious
healthy,vigorous_tough_normal_athletic_healthful
hearten,inspire_energize_strengthen_embolden_comfort
heartening,cheering_promising_hopeful_likely_supportive
heartfelt,cordial_warm_profound_sincere_honest
heartily,cordially_earnestly_seriously_genuinely
heartwarming,exhilarating_heartening_heartfelt_inspiring_stirring
heaven,nirvana_Promised Land_immortality_paradise_kingdom
heavenly,celestial_angelic_holy_delectable_wonderful
helped,relieved_supported_backed_sustained_advised
helpful,accessible_useful_valuable_cooperative_supportive
helping,serving_dollop_ration_share_order
hero,hoagie_sub_submarine_torpedo_grinder
heroic,gallant_noble_daring_fearless_gutsy
heroically,valiantly_boldly_gamely_gallantly_fearlessly
heroine,female_celebrity_actress_protagonist_leading lady
heroize,heroes_theorize_heroines_heroic_heroin
heros,hoagie_sub_submarine_torpedo_grinder
high-quality,excellent_finest_first-rate_prime_superior
high-spirited,lively_merry_exuberant_effervescent_fiery
hilarious,uproarious_humorous_lively_priceless_amusing
holy,spiritual_righteous_humble_hallowed_pure
homage,deference_tribute_allegiance_reverence_loyalty
honest,virtuous_genuine_straightforward_fair_impartial
honesty,confidence_candor_veracity_virtue_probity
honor,dignity_confidence_trust_glory_faith
honorable,noble_straightforward_ethical_sincere_illustrious
honored,recognized_privileged_well-known_distinguished_dignified
honoring,admire_appreciate_commend_worship_commemorate
hooray,exclamation_wow_amen_hello_alas
hopeful,eager_buoyant_enthusiastic_sanguine_comfortable
hospitable,congenial_courteous_friendly_neighborly
hot,tropical_humid_scorching_blazing_sizzling
hotcake,flapjack_battercake_flannel cake_flapcake_griddlecake
hotcakes,cake_waffle_wheat_blanket_griddle cake
hottest,tropical_humid_scorching_blazing_sizzling
hug,lock_clinch_caress_clasp_squeeze
humane,sympathetic_cordial_generous_benevolent_open-minded
humble,timid_sheepish_respectful_tentative_simple
humility,shyness_demureness_mortification_diffidence_servility
humor,playfulness_farce_joke_banter_whimsy
humorous,whimsical_droll_playful_amusing_hilarious
humorously,merrily_ridiculously_jokingly_amusingly_absurdly
humour,homer_hum_hour_homie_humus
humourous,humorously_murmurous_timorous_amorous_humorist
ideal,optimal_fitting_quintessential_excellent_classical
idealize,glorify_admire_rhapsodize_dream_put on a pedestal
ideally,handsomely_gracefully_splendidly_wonderfully_magnificently
idol,deity_hero_darling_icon_simulacrum
idolize,admire_venerate_adore_revere_glorify
idolized,admire_venerate_adore_revere_glorify
idyllic,pastoral_picturesque_bucolic_rustic_unspoiled
illuminate,flash_highlight_brighten_spotlight_ignite
illuminati,scholar_brain_sage_egghead_savant
illuminating,enlightening_illuminated_incandescent_luminescent_fluorescent
illumine,light_irradiate_illuminate_brighten
illustrious,noble_renowned_splendid_remarkable_outstanding
ilu,ilk_iou_flu_icu_i o u
imaculate,maculate_emasculate
imaginative,ingenious_whimsical_fantastic_vivid_visionary
immaculate,snowy_flawless_bright_spotless_neat
immaculately,articulately_impolitely
immense,huge_enormous_monstrous_tremendous_limitless
impartial,disinterested_evenhanded_fair-minded_open-minded_dispassionate
impartiality,probity_neutrality_equality_fairness_justice
impartially,reasonably_objectively_properly_honestly_honorably
impassioned,sentimental_rousing_intense_fierce_fiery
impeccable,precise_unblemished_exquisite_immaculate_accurate
impeccably,correctly_wonderfully_excellently_admirably_flawlessly
important,great_relevant_necessary_extensive_influential
impress,thrill_faze_excite_touch_affect
impressed,fascinated_affected_snowed_dazzled
impresses,thrill_faze_excite_touch_affect
impressive,thrilling_splendid_remarkable_profound_imposing
impressively,earnestly_soberly_seriously_gravely
impressiveness,force_energy_vim_zing_brio
improve,advance_upgrade_develop_help_reform
improved,revised_remodeled_corrected_mended_enriched
improvement,development_advance_upgrade_recovery_rise
improvements,development_advance_upgrade_recovery_rise
improves,advance_upgrade_develop_help_reform
improving,fixing_remodeling_convalescent_developing_repairing
incredible,unbelievable_unimaginable_preposterous_improbable_ridiculous
incredibly,strangely_uncommonly_especially_fabulously_astonishingly
indebted,appreciative_obliged_thankful_beholden_grateful
individualized,diagnose_divide_recognize_extricate_characterize
indulgence,privilege_extravagance_kindness_leniency_satiation
indulgent,permissive_fond_considerate_kindly_tolerant
industrious,productive_energetic_diligent_conscientious_active
inestimable,invaluable_precious_valuable
inestimably,in estimable_in-estimable_estimable_unsuitably_un suitably
inexpensive,reasonable_low-cost_cheap_low-priced_modest
infallibility,safety_faithfulness_dependability
infallible,authoritative_flawless_unbeatable_foolproof_acceptable
infallibly,inevitably_certainly_assuredly_plainly_absolutely
influential,dominant_authoritative_leading_persuasive_famous
ingenious,imaginative_inventive_sly_skillful_shrewd
ingeniously,ably_handily_neatly_smoothly_nimbly
ingenuity,dexterity_talent_ability_intelligence_gumption
ingenuous,artless_candid_childlike_frank_green
ingenuously,willingly_plainly_publicly_candidly_fully
innocuous,bland_banal_inoffensive_insipid_flat
innovation,deviation_contraption_departure_introduction_shift
innovative,ingenious_new_inventive_original_contemporary
inpressed,un pressed_un-pressed_impressed_ingressed_oppressed
insightful,penetrating_shrewd_astute_sharp_intelligent
insightfully,unsightly_unrightful_un sightly_un-sightly_un rightful
inspiration,motivation_revelation_insight_influence_encouragement
inspirational,artistic_beneficial_broadening_constructive_corrective
inspire,cause_get_impress_embolden_motivate
inspiring,heartening_encouraging_moving_exhilarating_exciting
instantly,instantaneously_immediately_directly_right away_forthwith
instructive,illuminating_useful_helpful_enlightening_educational
instrumental,involved_active_auxiliary_conducive_helpful
integral,indispensable_intrinsic_essential_elemental_constituent
integrated,unified_mixed_combined_interspersed_mingled
intelligence,agility_perception_quickness_subtlety_brilliance
intelligent,imaginative_inventive_wise_brilliant_knowledgeable
intelligible,comprehensible_clear_distinct_knowable_lucid
interesting,beautiful_attractive_intriguing_lovely_provocative
interests,importance_significance_sympathy_passion_activity
intimacy,confidence_familiarity_understanding_friendship_affection
intimate,affectionate_warm_cozy_confidential_loving
intricate,tricky_tortuous_sophisticated_complex_tangled
intrigue,plot_complication_chicanery_machination_conspiracy
intriguing,alluring_puzzling_gripping_provocative_fascinating
intriguingly,untiringly_unoriginal_enduringly_un original_un-original
intuitive,perceptive_emotional_visceral_spontaneous_innate
invaluable,helpful_valuable_costly_dear_expensive
invaluablely,in valuable_in-valuable_inviolable_unavailable_infallible
inventive,ingenious_imaginative_gifted_innovative_original
invigorate,restore_energize_strengthen_rejuvenate_excite
invigorating,fascinating_bracing_lively_exhilarating_refreshing
invincibility,prowess_fearlessness_boldness_gallantry_derring-do
invincible,unassailable_untouchable_invulnerable_unbeatable_impregnable
inviolable,sacrosanct_holy_sacred
inviolate,good_decent_honest_clean_fresh
invulnerable,impenetrable_indestructible_unbeatable_impregnable_untouchable
irreplaceable,irreversible_broken_destroyed_hopeless_impossible
irreproachable,blameless_exemplary_faultless_good_guiltless
irresistible,alluring_seductive_fascinating_invincible_unavoidable
irresistibly,severely_furiously_brutally_viciously_passionately
issue-free,issue forth_is sure_is there
jaw-droping,be draping_be-draping_drooping_dropping_groping
jaw-dropping,dropping_dripping_drooping_stropping_cropping
jollify,jollity_mollify_jolly_colluvy_jollied
jolly,pleasant_enjoyable_festive_joyous_carefree
jovial,cordial_amiable_festive_buoyant_jolly
joy,satisfaction_comfort_humor_glee_delight
joyful,elated_enjoyable_ecstatic_festive_heartening
joyfully,merrily_splendidly_brilliantly_cheerfully_colorfully
joyous,ecstatic_festive_heartwarming_cheerful_wonderful
joyously,willingly_warmly_cordially_freely_heartily
jubilant,elated_triumphal_overjoyed_joyous_triumphant
jubilantly,blandly_bluntly_turbulently_gallantly_blindly
jubilate,bully_glory_crow_revel_brag
jubilation,joy_happiness_festivity_merriment_exultation
jubiliant,jubilate_jubilance_sibilant_be jubilant
judicious,sensible_prudent_reasonable_skillful_shrewd
justly,equally_honorably_rightly_rightfully_reasonably
keen,impatient_avid_fierce_fervent_anxious
keenly,strongly_seriously_vigorously_heavily_severely
keenness,intelligence_sharpness_acumen_acuteness_shrewdness
kid-friendly,art friendly_good friend_wert friendly_good friends
kindliness,benignity_office_charitableness_sympathy_goodness
kindly,sympathetic_genial_benevolent_polite_gentle
kindness,tenderness_sympathy_goodness_gentleness_forbearance
knowledgeable,well-rounded_sensible_experienced_wise_conscious
kudos,applause_renown_esteem_plaudits_eminence
large-capacity,look aghast
laud,admire_eulogize_revere_commend_honor
laudable,commendable_praiseworthy_creditable_deserving_estimable
laudably,scrupulously_properly_appropriately_fairly_honestly
lavish,generous_bountiful_excessive_posh_wasteful
lavishly,richly_generously_foolishly_greatly_wastefully
law-abiding,virtuous_genuine_straightforward_fair_impartial
lawful,justifiable_constitutional_legal_statutory_valid
lawfully,equally_honorably_rightly_rightfully_reasonably
lead,advantage_point_top_start_edge
leading,dominant_preeminent_outstanding_top_well-known
leads,advantage_point_top_start_edge
lean,sinewy_gangly_lanky_slim_slender
led,force_attend_get_manage_drive
legendary,fabulous_storied_fabled_mythical_allegorical
leverage,bargaining chip_weight_advantage_clout_pull
levity,mirth_giddiness_repartee_hilarity_frivolity
liberate,save_rescue_free_redeem_detach
liberation,democracy_deliverance_abolition_emancipation_sovereignty
liberty,birthright_right_dispensation_rest_franchise
lifesaver,compassion_mercy_indulgence_leniency_toleration
light-hearted,cheerful_graceful_cheery_animated_blithe
lighter,sunny_bright_shiny_luminous_rich
likable,sympathetic_enjoyable_genial_amiable_sweet
like,comparable_alike_related_agnate_cognate
liked,loved_honored_respected_beloved_prized
likes,admire_appreciate_love_go for_exclaim
liking,affinity_love_bent_mind_fancy
lionhearted,bold_courageous_fearless_intrepid_valiant
lively,enjoyable_vigorous_provocative_cheerful_festive
logical,sensible_relevant_necessary_consistent_convincing
long-lasting,abiding_durable_resilient
lovable,genial_amiable_fascinating_sweet_appealing
lovably,livable_lovely_movable_liable_lively
love,emotion_tenderness_appreciation_taste_fondness
loved,beloved_precious_adored_cherished
loveliness,attractiveness_comeliness_charm_beauty_fairness
lovely,alluring_engaging_pleasing_splendid_sweet
lover,sweetheart_companion_suitor_admirer_girlfriend
loves,emotion_tenderness_appreciation_taste_fondness
loving,affectionate_generous_attentive_amiable_faithful
low-cost,inexpensive_low-priced_economical_bargain_budget
low-price,low price_low priced_low prices_low-priced
low-priced,inexpensive_bargain_economical_discounted
low-risk,lorries_brisk_frisk_louriest_lyrist
lower-priced,well pressed_well-pressed_wellpressed_low priced_low-priced
loyal,devoted_steadfast_trustworthy_patriotic_ardent
loyalty,faith_fidelity_fealty_patriotism_honesty
lucid,unambiguous_luminous_clear_clear-cut_comprehensible
lucidly,certainly_plainly_undoubtedly_obviously_openly
luck,win_stroke_serendipity_happiness_prosperity
luckier,successful_hot_fortuitous_happy_advantageous
luckiest,successful_hot_fortuitous_happy_advantageous
luckiness,win_stroke_serendipity_happiness_prosperity
lucky,successful_hot_fortuitous_happy_advantageous
lucrative,profitable_good_worthwhile_fruitful_advantageous
luminous,lustrous_vivid_brilliant_radiant_incandescent
lush,abundant_dense_sensuous_sumptuous_opulent
luster,brightness_brilliance_shimmer_sparkle_glitter
lustrous,waxy_glistening_shimmering_radiant_dazzling
luxuriant,sumptuous_lush_opulent_abundant_ample
luxuriate,enjoy_wallow_wanton_love_rollick
luxurious,ostentatious_stately_posh_sumptuous_palatial
luxuriously,largely_well_sumptuously_affluently_wealthily
luxury,richness_enjoyment_comfort_leisure_extravagance
lyrical,melodic_rhythmic_passionate_rhapsodic_soulful
magic,fascination_illusion_necromancy_foreboding_augury
magical,enchanted_unusual_magic_mythical_fascinating
magnanimous,unstinting_unselfish_altruistic_charitable_selfless
magnanimously,extremely_greatly_honorably_sincerely_advantageously
magnificence,greatness_splendor_elegance_richness_sumptuousness
magnificent,striking_imposing_lavish_grandiose_stately
magnificently,splendidly_wonderfully_beautifully_excellently_gorgeously
majestic,august_awesome_ceremonious_cool_courtly
majesty,greatness_illustriousness_nobility_stateliness
manageable,convenient_feasible_workable_docile_easy
maneuverable,mensurable_inferable_maneuver_more inferable_invariable
marvel,genius_miracle_phenomenon_sensation_prodigy
marveled,stare_gape_goggle_gaze_wonder
marvelled,stare_gape_goggle_gaze_wonder
marvellous,alien_ethereal_extraterrestrial_ghostly_heavenly
marvelous,fantastic_remarkable_awesome_breathtaking_awful
marvelously,unusually_magically_wondrously
marvelousness,marvelous_mercilessness_fearlessness_savorlessness_mellifluousness
marvels,genius_miracle_phenomenon_sensation_prodigy
master,skillful_adept_skilled_experienced_crackerjack
masterful,first-rate_deft_skillful_adroit_excellent
masterfully,splendidly_magnificently_fine_incomparably_marvelously
masterpiece,monument_treasure_jewel_gem_classic
masterpieces,monument_treasure_jewel_gem_classic
masters,administrator_guru_ruler_boss_director
mastery,dexterity_prowess_knowledge_familiarity_understanding
matchless,alone_consummate_excellent_exquisite_incomparable
mature,matured_sophisticated_grown_prime_complete
maturely,mature_matured_matures_maturity_mutely
maturity,ability_experience_sophistication_capability_manhood
meaningful,relevant_useful_worthwhile_valid_purposeful
memorable,great_impressive_remarkable_famous_catchy
merciful,humanitarian_kindly_compassionate_charitable_lenient
mercifully,forcefully_mirthfully_peacefully_mournfully_most fully
mercy,pity_benevolence_generosity_forgiveness_blessing
