2-faced,farced_facet_fazed_faces_face
detest,despise_abhor_loathe_repudiate_abominate
detestable,abhorrent_accursed_atrocious_awful_despicable
detestably,de testable_de-testable_detectably_detectable
detested,despise_abhor_loathe_repudiate_abominate
detesting,despise_abhor_loathe_repudiate_abominate
detests,despise_abhor_loathe_repudiate_abominate
detract,blister_knock_lower_derogate_undervalue
detracted,blister_knock_lower_derogate_undervalue
detracting,blister_knock_lower_derogate_undervalue
detraction,harm_aspersion_denigration_slam_scandal
detracts,blister_knock_lower_derogate_undervalue
detriment,loss_harm_mischief_handicap_disability
detrimental,inimical_adverse_hurtful_negative_pernicious
devastate,ruin_raze_ravage_wreck_smash
devastated,ruin_raze_ravage_wreck_smash
devastates,ruin_raze_ravage_wreck_smash
devastating,overwhelming_calamitous_disastrous_destructive_mortifying
devastatingly,testudinal
devastation,confusion_desolation_ruin_havoc_ruination
deviate,vary_differ_depart_veer_diverge
deviation,aberration_fluctuation_divergence_alteration_variation
devil,rogue_scamp_ogre_imp_dastard
devilish,demonic_diabolical_accursed_atrocious_bad
devilishly,devilishes_foolishly_fleshly
devilment,playfulness_evil_wrongdoing_vandalism_misconduct
devilry,rascality_naughtiness_shenanigans_mischievousness_prankishness
devious,fraudulent_duplicitous_wily_deceitful_sneaky
deviously,dubiously_devoutly_tediously_devisal_nervously
deviousness,shiftiness_chicanery_trickery_trickiness_artfulness
devoid,barren_vacant_bare_lacking_bereft
diabolic,atrocious_cruel_damnable_demonic_devilish
diabolical,vile_fiendish_vicious_heinous_cruel
diabolically,viciously_fiercely_savagely_in cold blood_meanly
diametrically,antipodal_opposite
diappointed,dis appointed_dis-appointed_appointed_reappointed_re appointed
diatribe,tirade_invective_denunciation_jeremiad_philippic
diatribes,tirade_invective_denunciation_jeremiad_philippic
dick,sleuth_reporter_agent_spy_police officer
dictator,tycoon_fascist_autocrat_commander_chief
dictatorial,overbearing_haughty_oppressive_imperious_totalitarian
die,drown_expire_perish_succumb_decease
die-hard,ultraconservative_conservative_convinced_dyed-in-the-wool_extremist
died,drown_expire_perish_succumb_decease
dies,drown_expire_perish_succumb_decease
difficult,troublesome_crucial_tough_problematic_arduous
difficulties,predicament_complication_dilemma_hardship_hazard
difficulty,predicament_complication_dilemma_hardship_hazard
diffidence,constraint_modesty_hesitation_backwardness_timidity
dilapidated,damaged_run-down_shabby_decaying_crumbling
dilemma,predicament_impasse_mess_puzzle_quandary
dilly-dally,delay_vacillate_linger_procrastinate_hesitate
dim,dingy_lackluster_murky_shadowy_faint
dimmer,dingy_lackluster_murky_shadowy_faint
din,disquiet_hullabaloo_racket_row_babel
ding,knock_pound_beat_drive_clang
dings,knock_pound_beat_drive_clang
dinky,trim_petite_miniature_dainty_Lilliputian
dire,acute_extreme_critical_desperate_drastic
direly,surely_drill_dire_rely_tiredly
direness,soreness_sureness_trueness_tiredness_dirtiness
dirt,excrement_soil_muck_mud_stain
dirtbag,degenerate_deviant_dip_pervert_pig
dirtbags,degenerate_deviant_dip_pervert_pig
dirts,excrement_soil_muck_mud_stain
dirty,dusty_murky_muddy_disheveled_crummy
disable,paralyze_knock out_harm_immobilize_wreck
disabled,handicapped_wounded_paralyzed_weakened_infirm
disaccord,dissent_conflict_clash_discord_argument
disadvantage,detriment_harm_prejudice_deprivation_injury
disadvantaged,handicapped_deprived_impoverished_poor_impaired
disadvantageous,derogatory_prejudicial_hurtful_disparaging_adverse
disadvantages,bar_burden_defect_deficiency_deprivation
disaffect,repel_antagonize_alienate_disturb_disquiet
disaffected,rebellious_discontented_dissatisfied_antagonistic_disloyal
disaffirm,annul_deny_disclaim_gainsay_negate
disagree,dissent_differ_contradict_clash_diverge
disagreeable,unpleasant_obnoxious_rude_bellicose_brusque
disagreeably,dis agreeable_dis-agreeable_disagreeables_is agreeable_be disagreeable
disagreed,dissent_differ_contradict_clash_diverge
disagreeing,quarreling_dissenting_at odds
disagreement,discord_dissent_disunity_argument_friction
disagrees,dissent_differ_contradict_clash_diverge
disallow,forbid_rebuff_embargo_deny_abjure
disapointed,dis appointed_dis-appointed_disjointed_dis jointed_dis-jointed
disapointing,dis appointing_dis-appointing_dis jointing_dis-jointing_disporting
disapointment,dis appointment_dis-appointment_disappointments_dis appointments_dis-appointments
disappoint,dissatisfy_disillusion_dishearten_dumbfound_disconcert
disappointed,disenchanted_discontented_discouraged_complaining_beaten
disappointing,distasteful_discouraging_depressing_unpleasant_mediocre
disappointingly,dis appointing_dis-appointing_despondently_despondency
disappointment,blow_disaster_setback_failure_obstacle
disappointments,blow_disaster_setback_failure_obstacle
disappoints,dissatisfy_disillusion_dishearten_dumbfound_disconcert
disapprobation,objection_condemnation_censure_boycott_disfavor
disapproval,criticism_discontent_objection_censure_dissatisfaction
disapprove,veto_denounce_decry_oppose_reject
disapproving,veto_denounce_decry_oppose_reject
disarm,demobilize_subdue_neutralize_deactivate_occupy
disarray,anarchy_disharmony_chaos_shambles_discomposure
disaster,harm_crash_catastrophe_emergency_failure
disasterous,disasters_disastrously
disastrous,dreadful_destructive_unfortunate_catastrophic_calamitous
disastrously,sadly_miserably_unhappily_regrettably_dismally
disavow,impugn_repudiate_contradict_disclaim_forswear
disavowal,rejection_veto_disapproval_repudiation_rebuttal
disbelief,distrust_incredulity_mistrust_rejection_unbelief
disbelieve,repudiate_eschew_question_mistrust_discount
disbeliever,skeptic_doubter_pessimist_detractor_unbeliever
disclaim,disown_disavow_traverse_revoke_repudiate
discombobulate,confound_befuddle_disconcert_fluster_bewilder
discomfit,vex_disconcert_perplex_demoralize_prevent
discomfititure,discomforted_dis comforted_dis-comforted
discomfort,annoyance_hardship_soreness_disquiet_embarrassment
discompose,pester_unsettle_displease_rattle_confuse
disconcert,discomfit_disturb_unsettle_perplex_bewilder
disconcerted,thrown_perturbed_bewildered_unsettled_distracted
disconcerting,discomfit_disturb_unsettle_perplex_bewilder
disconcertingly,dis concerting_dis-concerting
disconsolate,inconsolable_bad_black_blue_cheerless
disconsolately,desperately_sadly_dispiritedly_cynically_darkly
disconsolation,distress_dreariness_downheartedness_dole_mortification
discontent,restlessness_uneasiness_regret_displeasure_unhappiness
discontented,blue_perturbed_displeased_complaining_upset
discontentedly,dis contented_dis-contented_dis
discontinued,discarded_interrupted_canceled_terminated_given up
discontinuity,interruption_pause_halt_ending_stoppage
discontinuous,alternate_desultory_disconnected_disjointed_disordered
discord,tumult_dissonance_disharmony_harshness_jangle
discordance,dissonance_contention_clash_discord_dissent
discordant,cacophonous_clashing_jarring_dissonant_strident
discountenance,discourage_deprecate_disapprove_disesteem_resist
discourage,depress_dampen_dismay_intimidate_frighten
discouragement,pessimism_hopelessness_dismay_melancholy_dejection
discouraging,disappointing_dreary_depressing_gloomy_dismal
discouragingly,decidedly_badly_intensely_mightily_desperately
discourteous,abrupt_boorish_brusque_cavalier_cheeky
discourteously,harshly_crudely_imprudently_loudly_roughly
discoutinous,dis continuous_dis-continuous_discountings_discourteous_dis continues
discredit,vilify_disgrace_smear_ruin_defame
discrepant,conflicting_contradictory_contrary_different_discordant
discriminate,segregate_incline_separate_favor_judge
discrimination,intolerance_inequity_favoritism_bigotry_prejudice
discriminatory,prejudiced_biased_inequitable_unfair
disdain,ridicule_arrogance_derision_aversion_antipathy
disdained,despise_spurn_deride_belittle_pooh-pooh
disdainful,derisive_haughty_unsympathetic_arrogant_averse
disdainfully,suspiciously_skeptically_askew_dubiously_obliquely
disfavor,distaste_disinclination_dishonor_discredit_disapproval
disgrace,ignominy_humiliation_dishonor_degradation_disrespect
disgraced,humiliated_shamed_degraded_discharged_abject
disgraceful,shocking_ignominious_degrading_contemptible_scandalous
disgracefully,wickedly_dreadfully_clumsily_inadequately_incompletely
disgruntle,annoy_dissatisfy_discontent_displease_irritate
disgruntled,testy_annoyed_irritated_discontent_displeased
disgust,distaste_antipathy_hatred_loathing_dislike
disgusted,queasy_tired_unhappy_weary_displeased
disgustedly,dis gusted_dis-gusted_disjointedly_dis jointedly_dis-jointedly
disgustful,dis tasteful_dis-tasteful_discursively_disquisitive_dis cursively
disgustfully,disgust_dis tasteful_dis-tasteful_discursively_dis cursively
disgusting,distasteful_vile_horrific_scandalous_objectionable
disgustingly,dis gusting_dis-gusting_disquisitional_discoursed on
dishearten,dismay_discourage_dispirit_humble_deter
disheartening,dismay_discourage_dispirit_humble_deter
dishearteningly,dis heartening_dis-heartening
dishonest,deceptive_unscrupulous_deceitful_sneaky_crooked
dishonestly,treacherously_unscrupulously_maliciously_basely_crookedly
dishonesty,infidelity_falsehood_fraud_trickery_duplicity
dishonor,reproach_opprobrium_disgrace_obloquy_odium
dishonorable,base_contemptible_crooked_deceitful_despicable
dishonorablely,dishonorably_dis honorable_dis honorably_dis-honorable_dis-honorably
disillusion,disappoint_embitter_disabuse_bring down to earth_burst the bubble
disillusioned,disenchanted_embittered_knowing_sophisticated_broken
disillusionment,blow_discontent_regret_chagrin_setback
disillusions,disappoint_embitter_disabuse_bring down to earth_burst the bubble
disinclination,opposition_distaste_displeasure_repugnance_objection
disinclined,slow_hesitating_indisposed_shy_opposed
disingenuous,dishonest_unfair_deceitful_artful_crooked
disingenuously,dis ingenuous_dis-ingenuous_disingenuou_doing on sly_discerningly
disintegrate,break up_sink_decompose_disband_decay
disintegrated,break up_sink_decompose_disband_decay
disintegrates,break up_sink_decompose_disband_decay
disintegration,dissolution_putrefaction_demoralization_fragmentation_decentralization
disinterest,lethargy_inattention_indifference_listlessness_unconcern
disinterested,impartial_dispassionate_unbiased_neutral_aloof
dislike,distaste_displeasure_enmity_hostility_antipathy
disliked,despise_regret_avoid_disapprove_resent
dislikes,distaste_displeasure_enmity_hostility_antipathy
disliking,despise_regret_avoid_disapprove_resent
dislocated,disengage_disturb_disconnect_divide_separate
disloyal,disaffected_untrustworthy_alienated_apostate_cheating
disloyalty,infidelity_treason_treachery_sedition_double-dealing
dismal,dim_horrid_murky_discouraging_sad
dismally,desperately_sadly_dispiritedly_cynically_darkly
dismalness,dismals_timeliness_dismal_seemliness_disciplines
dismay,anxiety_consternation_fright_chagrin_apprehension
dismayed,dispirit_rattle_frighten_puzzle_unnerve
dismaying,dispirit_rattle_frighten_puzzle_unnerve
dismayingly,dis maying_dis-maying
dismissive,cocky_bloated_boastful_cavalier_conceited
dismissively,dis missive_dis-missive_discursively_dis cursively_dis-cursively
disobedience,revolution_violation_infraction_recalcitrance_unruliness
disobedient,contrary_contumacious_disorderly_fractious_froward
disobey,contravene_violate_defy_infringe_evade
disoobedient,dis obedient_dis-obedient_disobedience_dis obedience_dis-obedience
disorder,huddle_mess_confusion_disarray_discombobulation
disordered,moved_confused_tousled_roiled_muddled
disorderly,chaotic_undisciplined_disorganized_jumbled_confused
disorganized,chaotic_haphazard_confused_muddled_disordered
disorient,dumbfound_bewilder_puzzle_muddle_distract
disoriented,unhinged_bewildered_perplexed_lost_unsettled
disown,renounce_repudiate_disavow_disclaim_retract
disparage,malign_dismiss_decry_ridicule_defame
disparaging,snide_unfavorable_derogatory_defamatory_pejorative
disparagingly,adversely_critically_conflictingly_contrarily_opposingly
dispensable,excessive_expendable_minor_needless_nonessential
dispirit,deject_discourage_dishearten_demoralize_sadden
dispirited,crestfallen_depressed_glum_despondent_down
dispiritedly,desperately_sadly_cynically_darkly_dejectedly
dispiriting,dismal_discouraging_demoralizing_cheerless_gloomy
displace,disturb_expel_lose_uproot_evict
displaced,deranged_removed_luxated_uprooted_ectopic
displease,annoy_dissatisfy_perplex_exasperate_chagrin
displeased,disappointed_dissatisfied_annoyed_angry_vexed
displeasing,annoying_bad_disagreeable_distasteful_nasty
displeasure,annoyance_distaste_disapproval_resentment_umbrage
disproportionate,superfluous_unequal_inordinate_excessive_unreasonable
disprove,invalidate_impugn_refute_contradict_belie
disputable,arguable_controversial_doubtful_dubious_moot
dispute,row_squabble_discord_wrangle_brawl
disputed,contend_deny_contest_contradict_challenge
disquiet,nervousness_anxiety_restlessness_angst_foreboding
disquieting,distressing_perplexing_unsettling_bothersome_disturbing
disquietingly,dis quieting_dis-quieting_dissecting_disjointly_dis jointly
disquietude,dysphoria_anxiety_restlessness_agitation_disquiet
disregard,negligence_disdain_inattention_apathy_disrespect
disregardful,careless_inconsiderate_neglectful_negligent_unthoughtful
disreputable,contemptible_vile_shady_despicable_shameful
disrepute,disgrace_stigma_scandal_scar_cloud
disrespect,contempt_coarseness_boldness_impertinence_incivility
disrespectable,dis respectful_dis-respectful_disrespectfully_disrespect_dis respectfully

disrespectful,profane_blasphemous_impolite_sacrilegious_flippant
disrespectfully,harshly_crudely_imprudently_loudly_roughly
disrespectfulness,gall_guts_spunk_chutzpah_temerity
disrespecting,sully_defile_disparage_debase_tarnish
disrupt,rattle_disturb_rummage_discompose_unsettle
disruption,interruption_break_separation_severance_splitting
disruptive,upsetting_disturbing_troublesome_rowdy_unruly
diss,dis_dises_siss_discs_dies
dissapointed,dis appointed_dis-appointed_disjointed_dis jointed_dis-jointed
dissappointed,dis appointed_dis-appointed_disappoint_dis appoints_dis-appoints
dissappointing,dis appointing_dis-appointing_disappoint_dis appoint_dis-appoint
dissatisfaction,dismay_complaint_anxiety_displeasure_distaste
dissatisfactory,bad_damaged_deficient_disappointing_distressing
dissatisfied,complaining_displeased_disappointed_bothered_offended
dissatisfies,disappoint_perturb_anger_discontent
dissatisfy,disappoint_perturb_anger_discontent
dissatisfying,disappoint_perturb_anger_discontent
dissed,belittle_criticize_disparage_knock_malign
dissemble,pussyfoot_feign_dissimulate_hide_conceal
dissembler,bigot_trickster_impostor_phony_crook
dissension,fuss_discord_wrangle_dissent_disunity
dissent,discord_objection_disunity_resistance_dissension
dissenter,skeptic_protester_separatist_heretic_rebel
dissention,squabble_fuss_discussion_argument_strife
disservice,injustice_disfavor_harm_hurt_insult
disses,belittle_criticize_disparage_knock_malign
dissidence,discordance_disharmony_contention_dissent_disagreement
dissident,discordant_sectarian_nonconformist_heretical_heterodox
dissidents,discordant_sectarian_nonconformist_heretical_heterodox
dissing,chitchat_gossip_repartee_ribbing_small talk
dissocial,dissociate_dis sociable_dis-sociable_asocial_social
dissolute,abandoned_corrupt_debauched_degenerate_depraved
dissolution,divorce_partition_disintegration_division_divorcement
dissonance,disparity_dissension_incongruity_discrepancy_discord
dissonant,discordant_incongruous_anomalous_disagreeing_discrepant
dissonantly,dis sonant_dis-sonant_disjointly_resonantly_dominantly
dissuade,prevent_discourage_thwart_faze_deter
dissuasive,discursive_dismissive_suasive_dis cursive_dis-cursive
distains,distants_destines_distance_dustbins_disdain
distaste,displeasure_hostility_antipathy_dissatisfaction_repulsion
distasteful,tasteless_objectionable_abhorrent_unpalatable_unappetizing
distastefully,dis tasteful_dis-tasteful_distastefuls_distrustfully_dis trustfully
distort,pervert_misinterpret_disfigure_warp_twist
distorted,wry_gnarled_colored_perverted_askew
distortion,lie_exaggeration_misinterpretation_misstatement_bias
distorts,pervert_misinterpret_disfigure_warp_twist
distract,disturb_perplex_bewilder_amuse_divert
distracting,disturb_perplex_bewilder_amuse_divert
distraction,interruption_complication_disturbance_aberration_confusion
distraught,perturbed_distressed_concerned_confused_crazy
distraughtly,straightly_dost right_dost right by_discreetly_doest right by
distraughtness,discreetness_disparateness_discreteness_disorderedness_destituteness
distress,irritation_unhappiness_shame_pang_affliction
distressed,perturbed_shaky_miffed_anxious_agitated
distressing,dreadful_troublesome_frightening_regrettable_sad
distressingly,severely_sadly_passionately_thoroughly_profoundly
distrust,wariness_disbelief_mistrust_misgiving_doubt
distrustful,skeptical_cautious_wary_fearful_suspicious
distrusting,discredit_mistrust_disbelieve_question_doubt
disturb,unsettle_perturb_rattle_frighten_puzzle
disturbance,turmoil_uprising_shock_explosion_fracas
disturbed,confused_upset_disordered_disorganized_disrupted
disturbing,troublesome_embarrassing_annoying_worrisome_distressing
disturbingly,decidedly_badly_intensely_mightily_desperately
disunity,dissension_divergence_discord_divergency_severance
disvalue,de value_de-value_disable_dismal_rise value
divergent,conflicting_different_various_dissimilar_disparate
divisive,disruptive_discordant_alienating_at odds
divisively,decisively_divisible_diversely
divisiveness,discord_dissent_disunity_argument_friction
dizzing,dizzying_fizzing_sizzing_dicing_wizzing
dizzingly,dotingly_daringly_divinely_dingily_dozing
dizzy,giddy_groggy_woozy_distracted_shaky
doddering,tottering_decrepit_infirm_senile_shaky
dodgey,doge_dogy_doggy_dodged_dodger
dogged,tenacious_stubborn_unshakable_steadfast_indefatigable
doggedly,strictly_stubbornly_resolutely_constantly_intently
dogmatic,stubborn_fanatical_categorical_assertive_unequivocal
doldrums,gloom_stagnation_malaise_slump_stupor
domineer,bulldoze_menace_bully_hector_intimidate
domineering,overbearing_dictatorial_imperious_autocratic_bossy
donside,down side_downsides_downslide_inside_on side
doom,calamity_downfall_cataclysm_catastrophe_disaster
doomed,ill-fated_wrecked_cursed_done_overwhelmed
doomsday,Judgment Day_day of reckoning_Last Day_Last Judgment_the Judgment
dope,idiot_fool_ass_donkey_dunce
doubt,hesitation_disbelief_apprehension_confusion_uncertainty
doubtful,indecisive_unsure_problematic_insecure_suspicious
doubtfully,dubiously_askance_suspiciously_tentatively_ambiguously
doubts,hesitation_disbelief_apprehension_confusion_uncertainty
douchbag,dishrag_touchable_doggy bag_doggy-bag_tote bag
douchebag,doggie bag_touch base_dishrag_doggy bag_doggy-bag
douchebags,dirtbags_de bugs_de-bugs_douche_trash bags
downbeat,negative_cheerless_dejected_dispirited_gloomy
downcast,forlorn_discouraged_blue_down_bad
downer,misfortune_drag_bummer_bad scene_bad trip
downfall,breakdown_undoing_collapse_debacle_deterioration
downfallen,down line_gonfalon_down
downgrade,decline_descent_declivity_hill_pitch
downhearted,blue_crestfallen_dejected_despondent_disconsolate
downheartedly,downheartedn_turn turtle
downhill,falling_declining_dipping_dropping_sloping downward
downside,flaw_drawback_inconvenience_disadvantage_defect
downsides,flaw_drawback_inconvenience_disadvantage_defect
downturn,decline_plunge_slump_slide_deterioration
downturns,decline_plunge_slump_slide_deterioration
drab,gray_desolate_run-down_shabby_lackluster
draconian,oppressive_strict_cruel_severe_heavy-handed
draconic,dragon_dragons_dragoon_drag on_dragoons
drag,impediment_burden_annoyance_pain_hang-up
dragged,pull_draw_move_tow_lug
dragging,boring_protracted_dull_long_prolonged
dragoon,browbeat_bulldoze_dominate_domineer_oppress
drags,impediment_burden_annoyance_pain_hang-up
drain,pipe_duct_sewer_ditch_culvert
drained,depleted_weary_beat_dragging_spent
draining,exhausting_taxing_wearing_wearying_fatiguing
drains,pipe_duct_sewer_ditch_culvert
drastic,radical_forceful_harsh_dire_desperate
drastically,utterly_awfully_excessively_remarkably_unduly
drawback,fault_flaw_stumbling block_deficiency_handicap
drawbacks,fault_flaw_stumbling block_deficiency_handicap
dread,alarming_frightening_awe-inspiring_awful_creepy
dreadful,atrocious_horrific_ghastly_horrendous_abominable
dreadfully,terribly_badly_fearfully_disturbingly_horribly
dreadfulness,abnormality_monster_hideousness_horror_deformity
dreary,tedious_dingy_wretched_lonely_humdrum
dripped,sprinkle_plop_rain_drizzle_filter
dripping,sprinkle_plop_rain_drizzle_filter
drippy,bathetic_emotional_gushy_maudlin_mawkish
drips,sprinkle_plop_rain_drizzle_filter
drones,parasite_loafer_idler_sluggard_slug
droop,wilt_slouch_dangle_sag_wither
droops,wilt_slouch_dangle_sag_wither
drop-out,free spirit_flower child_bohemian_beatnik_freethinker
drop-outs,free spirit_flower child_bohemian_beatnik_freethinker
dropout,quitter_truant_hippie_nonconformist_failure
dropouts,quitter_truant_hippie_nonconformist_failure
drought,lack_scarcity_insufficiency_dearth_deficiency
drowning,drench_go down_inundate_immerse_soak
drunk,tipsy_stoned_stewed_high_plastered
drunkard,souse_bacchanal_soak_alcoholic_tippler
drunken,intoxicated_inebriated
dubious,questionable_skeptical_unclear_uncertain_equivocal
dubiously,suspiciously_doubtingly_indecisively
dubitable,borderline_chancy_clouded_dubious_equivocal
dud,flop_debacle_lemon_loser_bust
dull,tedious_dim_slow_simple_boring
dullard,fool_dunce_idiot_blockhead_dope
dumb,speechless_inarticulate_incoherent_mousy_mum
dumbfound,bewilder_stun_nonplus_boggle_confound
dump,depot_swamp_magazine_cesspool_ash heap
dumped,drain_unload_dispose of_get rid of_leave
dumping,removal_jettison_disposition_discarding_scrapping
dumps,doldrums_gloom_melancholy_dreariness_bummer
dunce,ass_donkey_twit_blockhead_pinhead
dungeon,cell_vault_torture chamber_oubliette
dungeons,cell_vault_torture chamber_oubliette
dupe,patsy_sitting duck_fool_sucker_fish
dust,grime_dirt_soil_powder_soot
dusty,chalky_dirty_sandy_crumbly_friable
dwindling,decline_abate_ebb_wane_lessen
dying,doomed_fading_moribund_decaying_sinking
earsplitting,ringing_blaring_piercing_deafening_thunderous
eccentric,whimsical_funny_unconventional_bizarre_strange
eccentricity,peculiarity_idiosyncrasy_foible_quirk_abnormality
effigy,puppet_likeness_statue_picture_figure
effrontery,gall_presumption_chutzpah_self-confidence_crust
egocentric,selfish_self-centered_self-serving_individualistic_pompous
egomania,narcissism_conceit_self-importance_self-absorption_self-centeredness
egotism,selfishness_narcissism_self-absorption_arrogance_conceit
egotistical,selfish_self-centered_smug_self-important_pompous
egotistically,selfishly_ostentatiously_arrogantly_airily_boastfully
egregious,grievous_scandalous_deplorable_flagrant_heinous
egregiously,courageously_outrageously
election-rigger,electioneered_elocutionary
elimination,expulsion_withdrawal_rejection_eradication_destruction
emaciated,bony_skeletal_gaunt_skinny_scrawny
emasculate,vitiate_debilitate_fix_devitalize_impoverish
embarrass,annoy_disturb_perplex_bewilder_perturb
embarrassing,distressing_tricky_troublesome_perplexing_puzzling
embarrassingly,embarrassings_embracing_embracings
embarrassment,dilemma_chagrin_mess_confusion_unease
embattled,beset_fortified_fighting_prepared_crenelated
embroil,entangle_tangle_mire_ensnare_involve
embroiled,entangle_tangle_mire_ensnare_involve
embroilment,altercation_squabble_clash_brawl_argument
emergency,difficulty_crunch_accident_necessity_tension
emphatic,pronounced_resounding_sure_vigorous_definitive
emphatically,certainly_absolutely_assuredly_flatly_distinctly
emptiness,desolation_vacuum_blankness_destitution_blank
encroach,intrude_infringe_trespass_usurp_horn in
encroachment,invasion_intrusion_inroad_trespass
endanger,threaten_expose_imperil_menace_hazard
enemies,murderer_spy_terrorist_competitor_attacker
enemy,murderer_spy_terrorist_competitor_attacker
enervate,paralyze_exhaust_devitalize_debilitate_jade
enfeeble,exhaust_debilitate_unnerve_incapacitate_attenuate
enflame,toast_grill_thaw_ignite_sear
engulf,plunge_inundate_consume_flood_overwhelm
enjoin,admonish_appoint_warn_decree_urge
enmity,antagonism_acrimony_hostility_bitterness_rancor
enrage,exasperate_infuriate_incense_inflame_rile
enraged,angry_infuriated_irate_incensed_upset
enraging,exasperate_infuriate_incense_inflame_rile
enslave,incarcerate_suppress_deprive_coerce_shackle
entangle,implicate_unsettle_perplex_interweave_embroil
entanglement,liaison_imbroglio_affair_cobweb_jumble
entrap,entangle_seduce_ensnare_enmesh_entice
entrapment,liaison_imbroglio_affair_cobweb_jumble
envious,distrustful_watchful_suspicious_greedy_aspiring
enviously,obviously_nervously_enormously_envois_onerously
enviousness,jealousy_resentment_resentfulness_the green-eyed monster
epidemic,infectious_endemic_contagious_sweeping_catching
equivocal,ambiguous_muddled_unclear_puzzling_dubious
erase,wipe out_expunge_obliterate_abolish_eliminate
erode,destroy_corrode_gnaw_consume_disintegrate
erodes,destroy_corrode_gnaw_consume_disintegrate
erosion,disintegration_corrosion_decrease_destruction_despoliation
err,stumble_misbehave_stray_miscalculate_blow
errant,stray_wayward_aberrant_unorthodox_erratic
erratic,whimsical_unusual_volatile_uncertain_irregular
erratically,carelessly_unevenly_capriciously_eccentrically
erroneous,untrue_inaccurate_spurious_specious_mistaken
erroneously,afield_badly_improperly_incorrectly_mistakenly
error,flaw_omission_miscue_glitch_fault
errors,flaw_omission_miscue_glitch_fault
eruptions,explosion_burst_flare-up_breakout_outbreak
escapade,antic_fling_caper_mischief_vagary
eschew,abandon_renounce_avoid_forgo_forswear
estranged,divorce_alienate_leave_divide_separate
evade,dodge_hide_deceive_conceal_flee
evasion,prevarication_slip_artifice_pretext_ditch
evasive,ambiguous_unclear_deceptive_misleading_cagey
evil,unpleasant_destructive_hateful_vile_malicious
evildoer,devil_murderer_sociopath_psychopath_troublemaker
evils,harm_pain_catastrophe_calamity_ill
eviscerate,gut_weaken_devitalize
exacerbate,annoy_aggravate_worsen_heighten_irritate
exagerate,exaggerated_execrate_exonerate_excrete_ex crete
exagerated,exaggerate_exaggeratedly_excreted_unexaggerated_un exaggerated
exagerates,exaggerate_exonerates_excretes_ex cretes_ex-cretes
exaggerate,overdo_magnify_fabricate_distort_emphasize
exaggeration,falsehood_excess_fantasy_untruth_baloney
exasperate,annoy_disturb_embitter_peeve_infuriate
exasperated,annoy_disturb_embitter_peeve_infuriate
exasperating,annoy_disturb_embitter_peeve_infuriate
exasperatingly,exasperatings_ex asperating_ex-asperating
exasperation,annoyance_rage_fury_resentment_pique
excessive,extra_enormous_needless_exaggerated_superfluous
excessively,very_unreasonably_extremely
exclusion,embargo_omission_rejection_veto_refusal
excoriate,chafe_peel_rub_scratch_strip
excruciating,unbearable_grueling_acute_searing_severe
excruciatingly,awkwardly_miserably_disturbingly_restlessly_uneasily
excuse,justification_alibi_apology_trick_rationalization
excuses,justification_alibi_apology_trick_rationalization
execrate,imprecate_abominate_despise_vilify_curse
exhaust,drain_sap_overwork_cripple_weary
exhausted,disabled_dead_weak_drained_weakened
exhaustion,debility_debilitation_collapse_consumption_feebleness
exhausts,drain_sap_overwork_cripple_weary
exhorbitant,exhibiting_exhibitings_exhibited
exhort,beseech_admonish_incite_encourage_persuade
exile,dispersion_proscription_exclusion_displacement_expulsion
exorbitant,unwarranted_enormous_inordinate_unreasonable_outrageous

exorbitantly,utterly_awfully_excessively_remarkably_unduly
expel,dislodge_evacuate_remove_exhaust_ejaculate
expensive,costly_fancy_high_lavish_valuable
expire,quit_finish_depart_conclude_die
expired,quit_finish_depart_conclude_die
explode,collapse_mushroom_burst_shatter_detonate
exploit,feat_deed_accomplishment_escapade_adventure
exploitation,using_bleeding_profiteering
explosive,meteoric_frenzied_stormy_touchy_hazardous
expropriate,confiscate_sequester_requisition_annex_assume
expropriation,appropriation_confiscation_arrogation_impounding
expulse,oust_relegate_eject_ostracize_get rid of
expunge,wipe out_annul_exterminate_omit_abolish
exterminate,wipe out_annihilate_obliterate_stamp out_slaughter
extermination,liquidation_eradication_slaughter_genocide_elimination
extinguish,snuff out_quench_stamp out_smother_suffocate
extort,extract_wrest_exact_coerce_elicit
extortion,shakedown_fraud_coercion_theft_badger
extraneous,additional_immaterial_incidental_unnecessary_supplementary
extravagance,absurdity_luxury_exaggeration_excess_profusion
extravagant,fantastic_excessive_ludicrous_fancy_lavish
extravagantly,readily_abundantly_amply_cleanly_lavishly
extremism,intolerance_zeal_bigotry_hatred_madness
extremist,radical_zealot_fanatic_revolutionary_agitator
extremists,radical_zealot_fanatic_revolutionary_agitator
eyesore,blight_blemish_disgrace_disfigurement_dump
f**k,fe_wk_fs_ok_uk
fabricate,dream up_formulate_contrive_construct_invent
fabrication,falsehood_myth_fiction_forgery_untruth
facetious,amusing_blithe_clever_comic_comical
facetiously,merrily_ridiculously_jokingly_amusingly_absurdly
fail,decline_fall_founder_flounder_flop
failed,decline_fall_founder_flounder_flop
failing,short_scanty_shy_faint_defeated
fails,decline_fall_founder_flounder_flop
failure,breakdown_loss_misstep_collapse_decline
failures,breakdown_loss_misstep_collapse_decline
faint,dim_remote_dull_slight_inaudible
fainthearted,afraid_cowardly_fearful_frightened_gutless
faithless,capricious_changeable_cheating_deceitful_dishonest
fake,spurious_phony_fraudulent_fictitious_forged
fall,decline_plunge_spill_drop_slump
